learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes),Change detected,Warning detected
71.0,0.21875,-5.6590781443648867E-14,71.0,0.5211267605633803,0.721891100210676,2187.0,-1.0,0.0,816.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes),Change detected,Warning detected
200.0,0.015625,-4.042198674546348E-15,200.0,0.56,0.7483314773547883,200.0,-1.0,0.0,100.0
400.0,0.046875,-1.2126596023639042E-14,200.0,0.49,0.7,400.0,-1.0,0.0,200.0
600.0,0.0625,-1.616879469818539E-14,200.0,0.5,0.7071067811865476,600.0,-1.0,0.0,200.0
800.0,0.0625,-1.616879469818539E-14,200.0,0.53,0.7280109889280518,800.0,-1.0,0.0,200.0
1000.0,0.0625,-1.616879469818539E-14,200.0,0.52,0.7211102550927979,1000.0,-1.0,0.0,116.0
1200.0,0.078125,-2.021099337273174E-14,200.0,0.5,0.7071067811865476,1200.0,-1.0,0.0,0.0
1400.0,0.09375,-2.4253192047278088E-14,200.0,0.505,0.7106335201775947,1400.0,-1.0,0.0,0.0
1600.0,0.125,-3.233758939637078E-14,200.0,0.505,0.7106335201775947,1600.0,-1.0,0.0,0.0
1800.0,0.125,-3.233758939637078E-14,200.0,0.49,0.7,1800.0,-1.0,0.0,0.0
2000.0,0.140625,-3.637978807091713E-14,200.0,0.43,0.6557438524302001,2000.0,-1.0,0.0,0.0
2187.0,0.15625,-4.042198674546348E-14,200.0,0.5,0.7071067811865476,2187.0,-1.0,0.0,0.0
